Hotel,Average_Rating
Azul Inn,3.292682926829268
BEST WESTERN - San Jose Airport Plaza,4.1
BEST WESTERN Airport Executel,4.188861985472155
BEST WESTERN Airport Inn,3.87
BEST WESTERN Airport Suites,3.473684210526316
BEST WESTERN Alamo Suites,3.6176470588235294
BEST WESTERN Americana Inn,3.72
BEST WESTERN Atrium North,3.9047619047619047
BEST WESTERN Baltimore West,2.9076923076923076
BEST WESTERN Bowery Hanbee Hotel,4.675675675675675
BEST WESTERN Burbank Airport Inn,4.416666666666667
BEST WESTERN Canoga Park Motor Inn,4.24
BEST WESTERN Center City Hotel,2.7298850574712645
BEST WESTERN Cityplace Inn,3.8297872340425534
BEST WESTERN Convention Center Hotel,3.9135338345864663
BEST WESTERN Country Suites,3.238095238095238
BEST WESTERN Crossroads,4.0
BEST WESTERN Executive Inn,3.7796610169491527
BEST WESTERN Fort Worth Inn & Suites,4.69140625
BEST WESTERN Fountainview Inn & Suites Near Galleria,4.08
BEST WESTERN Galleria Inn and Suites,4.185714285714286
BEST WESTERN Garden Inn,3.9473684210526314
BEST WESTERN Georgetown Hotel & Suites,3.840909090909091
BEST WESTERN Golden Triangle Inn,3.838709677419355
BEST WESTERN Grant Park Hotel,3.5
BEST WESTERN Heritage Inn,4.043478260869565
BEST WESTERN Hollywood Plaza Inn,3.7627906976744185
BEST WESTERN Hotel JTB / Southpoint,4.277777777777778
BEST WESTERN Indianapolis South,3.9464285714285716
BEST WESTERN Ingram Park Inn,3.775
BEST WESTERN Inn Fort Worth,3.4210526315789473
BEST WESTERN Jacksonville Airport,3.9302325581395348
BEST WESTERN Lamplighter Inn & Suites at SDSU,4.632398753894081
BEST WESTERN Los Angeles Worldport Hotel,3.2857142857142856
BEST WESTERN Loyal Inn,4.089108910891089
BEST WESTERN Market Center,3.541176470588235
BEST WESTERN Mission Bay Inn,3.5233644859813085
BEST WESTERN Northwest Inn & Suites,4.4
BEST WESTERN PLUS Americania,3.6923076923076925
BEST WESTERN PLUS Atrea Hotel & Suites,4.67741935483871
BEST WESTERN PLUS Austin Airport Inn & Suites,4.782608695652174
BEST WESTERN PLUS Austin City Hotel,3.34
BEST WESTERN PLUS Bayside Inn,4.130952380952381
BEST WESTERN PLUS Blue Sea Lodge,4.176165803108808
