Hotel,Average_Rating
Avalon Hotel,4.066265060240964
Avenue Suites Georgetown,4.5064935064935066
Azul Inn,3.0384615384615383
BEST WESTERN - San Jose Airport Plaza,3.6363636363636362
BEST WESTERN Airport Executel,3.814159292035398
BEST WESTERN Airport Inn,3.646017699115044
BEST WESTERN Airport Suites,3.0
BEST WESTERN Alamo Suites,3.5232558139534884
BEST WESTERN Americana Inn,3.6451612903225805
BEST WESTERN Atrium North,3.6739130434782608
BEST WESTERN Baltimore West,2.84
BEST WESTERN Bowery Hanbee Hotel,4.26078799249531
BEST WESTERN Burbank Airport Inn,3.757575757575758
BEST WESTERN Canoga Park Motor Inn,3.892857142857143
BEST WESTERN Center City Hotel,2.538095238095238
BEST WESTERN Cityplace Inn,3.5306122448979593
BEST WESTERN Convention Center Hotel,3.4204275534441804
BEST WESTERN Country Suites,3.423076923076923
BEST WESTERN Crossroads,3.72
BEST WESTERN Executive Inn,3.6
BEST WESTERN Fort Worth Inn & Suites,4.552631578947368
BEST WESTERN Fountainview Inn & Suites Near Galleria,3.6153846153846154
BEST WESTERN Galleria Inn and Suites,3.972972972972973
BEST WESTERN Garden Inn,3.7
BEST WESTERN Georgetown Hotel & Suites,3.5603864734299515
BEST WESTERN Golden Triangle Inn,3.257142857142857
BEST WESTERN Grant Park Hotel,3.2478386167146973
BEST WESTERN Heritage Inn,3.3333333333333335
BEST WESTERN Hollywood Plaza Inn,3.4220532319391634
BEST WESTERN Hotel JTB / Southpoint,3.955056179775281
BEST WESTERN Indianapolis South,3.896551724137931
BEST WESTERN Ingram Park Inn,3.5294117647058822
BEST WESTERN Inn Fort Worth,2.9047619047619047
BEST WESTERN Jacksonville Airport,3.6530612244897958
BEST WESTERN Lamplighter Inn & Suites at SDSU,4.373177842565598
BEST WESTERN Los Angeles Worldport Hotel,2.92
BEST WESTERN Loyal Inn,3.640909090909091
BEST WESTERN Market Center,3.526315789473684
BEST WESTERN Mission Bay Inn,3.1908396946564888
BEST WESTERN Northwest Inn & Suites,4.208333333333333
BEST WESTERN PLUS Americania,3.247967479674797
BEST WESTERN PLUS Atrea Hotel & Suites,4.181818181818182
BEST WESTERN PLUS Austin Airport Inn & Suites,4.354166666666667
BEST WESTERN PLUS Austin City Hotel,2.901639344262295
BEST WESTERN PLUS Bayside Inn,3.816326530612245
BEST WESTERN PLUS Blue Sea Lodge,4.138424821002387
BEST WESTERN PLUS Carlyle Inn,3.953488372093023
BEST WESTERN PLUS Carriage Inn,3.7477477477477477
BEST WESTERN PLUS Cecil Field Inn & Suites,3.9285714285714284
BEST WESTERN PLUS Charlotte/Matthews,2.9714285714285715
BEST WESTERN PLUS Columbus North,2.5982905982905984
BEST WESTERN PLUS Dallas Hotel & Conference Center,3.7579908675799087
BEST WESTERN PLUS Denver Hotel,3.507142857142857
BEST WESTERN PLUS Downtown Inn & Suites Houston,4.485714285714286
BEST WESTERN PLUS Dragon Gate Inn,3.0892857142857144
BEST WESTERN PLUS Eagle Rock Inn,3.5294117647058822
BEST WESTERN PLUS Executive Inn,3.7675276752767526
BEST WESTERN PLUS Fiesta Inn,3.9761904761904763
BEST WESTERN PLUS Franklin Park Suites - Polaris,3.673076923076923
BEST WESTERN PLUS Gen X Inn,3.682926829268293
BEST WESTERN PLUS Hacienda Hotel Old Town,3.7085714285714286
BEST WESTERN PLUS Hill Country Suites,3.926829268292683
BEST WESTERN PLUS Hollywood Hills Hotel,3.7648809523809526
BEST WESTERN PLUS Hospitality House,4.485232067510548
BEST WESTERN PLUS Hotel & Conference Center,3.6601307189542482
BEST WESTERN PLUS Independence Park Hotel,4.273333333333333
BEST WESTERN PLUS InnSuites Phoenix Hotel & Suites,4.017094017094017
BEST WESTERN PLUS Island Palms Hotel & Marina,4.321232123212321
BEST WESTERN PLUS Lanai Garden Inn and Suites,3.1724137931034484
BEST WESTERN PLUS Mikado Hotel,3.021276595744681
BEST WESTERN PLUS Northwest Inn & Suites,3.3076923076923075
BEST WESTERN PLUS Palo Alto Inn & Suites,4.130434782608695
BEST WESTERN PLUS Pioneer Square Hotel,4.328703703703703
BEST WESTERN PLUS Port Columbus,3.6363636363636362
BEST WESTERN PLUS Posada Ana Inn - Medical Center,4.125
BEST WESTERN PLUS Queens Court Hotel,3.0980392156862746
BEST WESTERN PLUS River North Chicago Downtown Hotel,4.005366726296959
BEST WESTERN PLUS Roundhouse Suites,3.575875486381323
BEST WESTERN PLUS Royal Palace Inn & Suites,3.556149732620321
BEST WESTERN PLUS Sam Houston Inn & Suites,3.6
BEST WESTERN PLUS San Antonio East Inn & Suites,4.25
BEST WESTERN PLUS San Diego / Miramar Hotel,3.526315789473684
BEST WESTERN PLUS Seaport Inn Downtown,4.21285140562249
BEST WESTERN PLUS Sterling Hotel & Suites,3.3125
BEST WESTERN PLUS Sunset Suites - Riverwalk,4.358620689655172
BEST WESTERN PLUS Tuscan Inn at Fisherman's Wharf,4.169390787518574
BEST WESTERN PLUS Westchase Mini-Suites,4.72
BEST WESTERN Phoenix I-17 MetroCenter Inn,3.8556701030927836
BEST WESTERN Plaza Hotel & Suites at Medical Center Houston,3.6551724137931036
BEST WESTERN Plus Cabrillo Garden Inn,3.814814814814815
BEST WESTERN Plus Envy Hotel,2.7586206896551726
BEST WESTERN Plus Hawthorne Terrace Hotel,4.127777777777778
BEST WESTERN Posada Ana Inn-Airport,4.053571428571429
BEST WESTERN Seven Seas,3.297029702970297
BEST WESTERN Suites,3.267605633802817
BEST WESTERN Sunland Park Inn,2.75
BEST WESTERN The Hotel California,3.5685393258426967
BEST WESTERN Travelers Inn,3.235294117647059
BEST WESTERN University Hotel-Boston/Brighton,3.408
BEST WESTERN Windsor Pointe Hotel & Suites,4.136363636363637
BEST WESTERN Windsor Suites,3.1875
BEST WESTERN Woodland Hills Inn,3.872549019607843
BEST WESTERN Yacht Harbor Hotel,3.559241706161137
BLVD Hotel & Suites,2.488888888888889
Bahia Resort Hotel,3.6512415349887135
Balboa Park Inn,4.304526748971194
Baldwin Hotel,4.005369127516778
Baltimore Marriott Inner Harbor at Camden Yards,3.967032967032967
Baltimore Marriott Waterfront,4.227134146341464
Bar X Motel,1.0
Baroness Hotel,2.625
Barton Creek Resort & Spa,3.9258241758241756
Bay Bridge Inn,3.4782608695652173
Bay Club Hotel & Marina,4.349662162162162
Bay Inn and Suites,2.875
Baymeadows Inn & Suites,1.7692307692307692
Baymont Inn & Suites Austin South,3.107142857142857
Baymont Inn & Suites Dallas Love Field,4.565476190476191
Baymont Inn & Suites Fort Worth South,3.4705882352941178
Baymont Inn & Suites Houston,3.2542372881355934
Baymont Inn & Suites Houston East,3.2857142857142856
Baymont Inn & Suites Indianapolis South,4.203389830508475
Baymont Inn & Suites Indianapolis West,4.17948717948718
Baymont Inn & Suites Memphis East,2.9714285714285715
Baymont Inn Austin North / Austin Highland Mall,2.8
Baymont Inn Columbus North,2.34375
Baymont Inn Houston Hobby Airport,2.5869565217391304
Baymont Inn and Suites Charlotte-Airport,2.25
Baymont Inn and Suites Columbus at Rickenbacker,3.9047619047619047
