Hotel,Average_Rating
BEST WESTERN Airport Suites,3.6
BEST WESTERN Alamo Suites,3.1818181818181817
BEST WESTERN Americana Inn,3.8181818181818183
BEST WESTERN Atrium North,3.65
BEST WESTERN Baltimore West,3.566666666666667
BEST WESTERN Bowery Hanbee Hotel,4.293689320388349
BEST WESTERN Burbank Airport Inn,2.980392156862745
BEST WESTERN Canoga Park Motor Inn,4.238095238095238
BEST WESTERN Center City Hotel,3.8
BEST WESTERN Cityplace Inn,3.875
BEST WESTERN Convention Center Hotel,3.24
BEST WESTERN Country Suites,4.055555555555555
BEST WESTERN Crossroads,4.0
BEST WESTERN Executive Inn,3.473684210526316
BEST WESTERN Fort Worth Inn & Suites,4.550420168067227
BEST WESTERN Fountainview Inn & Suites Near Galleria,3.8181818181818183
BEST WESTERN Galleria Inn and Suites,4.339285714285714
BEST WESTERN Garden Inn,3.6470588235294117
BEST WESTERN Georgetown Hotel & Suites,4.344594594594595
BEST WESTERN Golden Triangle Inn,3.652173913043478
BEST WESTERN Grant Park Hotel,4.186991869918699
BEST WESTERN Heritage Inn,3.0
BEST WESTERN Hollywood Plaza Inn,4.464864864864865
BEST WESTERN Hotel JTB / Southpoint,4.212328767123288
BEST WESTERN Indianapolis South,4.46
BEST WESTERN Ingram Park Inn,3.9210526315789473
BEST WESTERN Inn Fort Worth,3.7058823529411766
BEST WESTERN Jacksonville Airport,4.2073170731707314
BEST WESTERN Lamplighter Inn & Suites at SDSU,3.8203389830508474
BEST WESTERN Los Angeles Worldport Hotel,2.357142857142857
BEST WESTERN Loyal Inn,4.073446327683616
BEST WESTERN Market Center,3.8714285714285714
BEST WESTERN Mission Bay Inn,3.7906976744186047
BEST WESTERN Northwest Inn & Suites,4.055555555555555
BEST WESTERN PLUS Americania,3.082901554404145
BEST WESTERN PLUS Atrea Hotel & Suites,4.612903225806452
BEST WESTERN PLUS Austin Airport Inn & Suites,4.288888888888889
BEST WESTERN PLUS Austin City Hotel,3.7333333333333334
BEST WESTERN PLUS Bayside Inn,4.245689655172414
BEST WESTERN PLUS Blue Sea Lodge,4.84319526627219
BEST WESTERN PLUS Carlyle Inn,4.095744680851064
BEST WESTERN PLUS Carriage Inn,3.816326530612245
