Hotel,Average_Rating
Avenue Suites Georgetown,4.63768115942029
Azul Inn,3.025
BEST WESTERN - San Jose Airport Plaza,3.8947368421052633
BEST WESTERN Airport Executel,4.057553956834532
BEST WESTERN Airport Inn,3.9375
BEST WESTERN Airport Suites,3.8823529411764706
BEST WESTERN Alamo Suites,3.8676470588235294
BEST WESTERN Americana Inn,3.782608695652174
BEST WESTERN Atrium North,3.9047619047619047
BEST WESTERN Baltimore West,3.380952380952381
BEST WESTERN Bowery Hanbee Hotel,4.386877828054299
BEST WESTERN Burbank Airport Inn,3.9166666666666665
BEST WESTERN Canoga Park Motor Inn,4.36
BEST WESTERN Center City Hotel,2.8914285714285715
BEST WESTERN Cityplace Inn,3.6956521739130435
BEST WESTERN Convention Center Hotel,3.612781954887218
BEST WESTERN Country Suites,3.1904761904761907
BEST WESTERN Crossroads,3.608695652173913
BEST WESTERN Executive Inn,3.6440677966101696
BEST WESTERN Fort Worth Inn & Suites,4.629343629343629
BEST WESTERN Fountainview Inn & Suites Near Galleria,3.76
BEST WESTERN Galleria Inn and Suites,4.043478260869565
BEST WESTERN Garden Inn,4.052631578947368
BEST WESTERN Georgetown Hotel & Suites,3.6420454545454546
BEST WESTERN Golden Triangle Inn,3.2903225806451615
BEST WESTERN Grant Park Hotel,3.5567375886524824
BEST WESTERN Heritage Inn,3.5416666666666665
BEST WESTERN Hollywood Plaza Inn,3.5492957746478875
BEST WESTERN Hotel JTB / Southpoint,4.204819277108434
BEST WESTERN Indianapolis South,4.160714285714286
BEST WESTERN Ingram Park Inn,3.5609756097560976
BEST WESTERN Inn Fort Worth,3.3157894736842106
BEST WESTERN Jacksonville Airport,4.127906976744186
BEST WESTERN Lamplighter Inn & Suites at SDSU,4.60377358490566
BEST WESTERN Los Angeles Worldport Hotel,2.95
BEST WESTERN Loyal Inn,4.034825870646766
BEST WESTERN Market Center,3.5294117647058822
BEST WESTERN Mission Bay Inn,3.5673076923076925
BEST WESTERN Northwest Inn & Suites,4.35
BEST WESTERN PLUS Americania,3.5096153846153846
BEST WESTERN PLUS Atrea Hotel & Suites,4.290322580645161
BEST WESTERN PLUS Austin Airport Inn & Suites,4.3478260869565215
BEST WESTERN PLUS Austin City Hotel,2.9215686274509802
BEST WESTERN PLUS Bayside Inn,3.890625
BEST WESTERN PLUS Blue Sea Lodge,4.27012987012987
BEST WESTERN PLUS Carlyle Inn,4.092592592592593
BEST WESTERN PLUS Carriage Inn,3.8597560975609757
BEST WESTERN PLUS Cecil Field Inn & Suites,3.9285714285714284
BEST WESTERN PLUS Charlotte/Matthews,3.375
BEST WESTERN PLUS Columbus North,2.8349514563106797
BEST WESTERN PLUS Dallas Hotel & Conference Center,3.954081632653061
BEST WESTERN PLUS Denver Hotel,3.705426356589147
BEST WESTERN PLUS Downtown Inn & Suites Houston,4.476923076923077
BEST WESTERN PLUS Dragon Gate Inn,3.064516129032258
BEST WESTERN PLUS Eagle Rock Inn,3.903225806451613
BEST WESTERN PLUS Executive Inn,4.016597510373444
BEST WESTERN PLUS Fiesta Inn,4.135135135135135
BEST WESTERN PLUS Franklin Park Suites - Polaris,3.6458333333333335
BEST WESTERN PLUS Gen X Inn,3.5454545454545454
BEST WESTERN PLUS Hacienda Hotel Old Town,3.6421404682274248
BEST WESTERN PLUS Hill Country Suites,4.0
BEST WESTERN PLUS Hollywood Hills Hotel,3.851985559566787
BEST WESTERN PLUS Hospitality House,4.418224299065421
BEST WESTERN PLUS Hotel & Conference Center,3.911111111111111
