Hotel,Average_Rating
Azul Inn,3.317073170731707
BEST WESTERN - San Jose Airport Plaza,4.05
BEST WESTERN Airport Executel,4.07673860911271
BEST WESTERN Airport Inn,3.6082474226804124
BEST WESTERN Airport Suites,3.4444444444444446
BEST WESTERN Alamo Suites,3.8333333333333335
BEST WESTERN Americana Inn,3.88
BEST WESTERN Atrium North,3.738095238095238
BEST WESTERN Baltimore West,2.984375
BEST WESTERN Bowery Hanbee Hotel,4.425
BEST WESTERN Burbank Airport Inn,4.147540983606557
BEST WESTERN Canoga Park Motor Inn,4.24
BEST WESTERN Center City Hotel,2.8114285714285714
BEST WESTERN Cityplace Inn,3.8043478260869565
BEST WESTERN Convention Center Hotel,3.6538461538461537
BEST WESTERN Country Suites,3.65
BEST WESTERN Crossroads,4.086956521739131
BEST WESTERN Executive Inn,3.8524590163934427
BEST WESTERN Fort Worth Inn & Suites,4.5852713178294575
BEST WESTERN Fountainview Inn & Suites Near Galleria,4.2
BEST WESTERN Galleria Inn and Suites,4.112676056338028
BEST WESTERN Garden Inn,3.8947368421052633
BEST WESTERN Georgetown Hotel & Suites,3.6818181818181817
BEST WESTERN Golden Triangle Inn,3.5161290322580645
BEST WESTERN Grant Park Hotel,3.4892857142857143
BEST WESTERN Heritage Inn,3.9166666666666665
BEST WESTERN Hollywood Plaza Inn,3.63768115942029
BEST WESTERN Hotel JTB / Southpoint,4.288343558282208
BEST WESTERN Indianapolis South,4.127272727272727
BEST WESTERN Ingram Park Inn,3.775
BEST WESTERN Inn Fort Worth,3.1578947368421053
BEST WESTERN Jacksonville Airport,4.011627906976744
BEST WESTERN Lamplighter Inn & Suites at SDSU,4.510903426791277
BEST WESTERN Los Angeles Worldport Hotel,3.1052631578947367
BEST WESTERN Loyal Inn,3.915422885572139
BEST WESTERN Market Center,3.5
BEST WESTERN Mission Bay Inn,3.5849056603773586
BEST WESTERN Northwest Inn & Suites,4.526315789473684
BEST WESTERN PLUS Americania,3.4057971014492754
BEST WESTERN PLUS Atrea Hotel & Suites,4.354838709677419
BEST WESTERN PLUS Austin Airport Inn & Suites,4.276595744680851
BEST WESTERN PLUS Austin City Hotel,3.0384615384615383
BEST WESTERN PLUS Bayside Inn,3.9529411764705884
BEST WESTERN PLUS Blue Sea Lodge,4.0310077519379846
BEST WESTERN PLUS Carlyle Inn,4.045871559633028
BEST WESTERN PLUS Carriage Inn,3.8260869565217392
BEST WESTERN PLUS Cecil Field Inn & Suites,3.7142857142857144
BEST WESTERN PLUS Charlotte/Matthews,3.3125
BEST WESTERN PLUS Columbus North,3.038095238095238
BEST WESTERN PLUS Dallas Hotel & Conference Center,4.109375
BEST WESTERN PLUS Denver Hotel,3.7131782945736433
BEST WESTERN PLUS Downtown Inn & Suites Houston,4.323076923076923
BEST WESTERN PLUS Dragon Gate Inn,3.2580645161290325
BEST WESTERN PLUS Eagle Rock Inn,3.806451612903226
BEST WESTERN PLUS Executive Inn,3.892116182572614
BEST WESTERN PLUS Fiesta Inn,4.108108108108108
BEST WESTERN PLUS Franklin Park Suites - Polaris,3.9791666666666665
BEST WESTERN PLUS Gen X Inn,3.6973684210526314
BEST WESTERN PLUS Hacienda Hotel Old Town,3.6930693069306932
BEST WESTERN PLUS Hill Country Suites,4.0256410256410255
BEST WESTERN PLUS Hollywood Hills Hotel,3.930909090909091
BEST WESTERN PLUS Hospitality House,4.503529411764706
BEST WESTERN PLUS Hotel & Conference Center,3.7794117647058822
BEST WESTERN PLUS Independence Park Hotel,4.113553113553113
BEST WESTERN PLUS InnSuites Phoenix Hotel & Suites,4.362745098039215
BEST WESTERN PLUS Island Palms Hotel & Marina,4.244114002478315
BEST WESTERN PLUS Lanai Garden Inn and Suites,3.4782608695652173
BEST WESTERN PLUS Mikado Hotel,3.511627906976744
BEST WESTERN PLUS Northwest Inn & Suites,3.5384615384615383
BEST WESTERN PLUS Palo Alto Inn & Suites,4.0
BEST WESTERN PLUS Pioneer Square Hotel,4.25765306122449
BEST WESTERN PLUS Port Columbus,3.75
BEST WESTERN PLUS Posada Ana Inn - Medical Center,4.433333333333334
BEST WESTERN PLUS Queens Court Hotel,3.148936170212766
BEST WESTERN PLUS River North Chicago Downtown Hotel,4.317365269461078
BEST WESTERN PLUS Roundhouse Suites,3.829383886255924
BEST WESTERN PLUS Royal Palace Inn & Suites,3.869918699186992
BEST WESTERN PLUS Sam Houston Inn & Suites,3.5
BEST WESTERN PLUS San Antonio East Inn & Suites,4.222222222222222
BEST WESTERN PLUS San Diego / Miramar Hotel,3.739130434782609
BEST WESTERN PLUS Seaport Inn Downtown,4.175675675675675
BEST WESTERN PLUS Sterling Hotel & Suites,3.6
BEST WESTERN PLUS Sunset Suites - Riverwalk,4.4535315985130115
BEST WESTERN PLUS Tuscan Inn at Fisherman's Wharf,4.018650088809947
BEST WESTERN PLUS Westchase Mini-Suites,4.775
BEST WESTERN Phoenix I-17 MetroCenter Inn,4.0120481927710845
BEST WESTERN Plaza Hotel & Suites at Medical Center Houston,3.7037037037037037
BEST WESTERN Plus Cabrillo Garden Inn,3.9833333333333334
BEST WESTERN Plus Envy Hotel,3.150943396226415
BEST WESTERN Plus Hawthorne Terrace Hotel,3.98159509202454
BEST WESTERN Posada Ana Inn-Airport,4.270833333333333
BEST WESTERN Seven Seas,3.6596385542168677
BEST WESTERN Suites,3.4545454545454546
BEST WESTERN Sunland Park Inn,3.2
BEST WESTERN The Hotel California,3.713855421686747
